word,category
sitting,ambiance
overlooking,ambiance
waitress,service
quickly,service
semi,ambiance
ingredients,food
menu,food
truffle,food
scrambled,food
eggs,food
vegetable,food
skillet,food
bread,food
meal,food
crowded,ambiance
seated,service
seating,service
waiter,service
drink,drinks
host,service
server,service
baked,food
spaghetti,food
calzone,food
beef,food
pizza,food
11,other
awesome,other
sweetish,other
sauce,other
box,other
gyro,food
rice,food
candy,food
shaded,ambiance
manager,service
petello,food
egg,food
rare,food
staff,service
quiessence,ambiance
earthy,ambiance
wooden,ambiance
walls,ambiance
warmth,ambiance
restaurant,service
perched,ambiance
reservations,service
sampled,food
sandwiches,food
veggies,food
salad,food
orange,food
grapefruit,food
slices,food
raw,food
radishes,food
turnips,food
pesto,food
aioli,food
sauces,food
entrees,food
pork,food
service,service
waiting,service
bothered,service
situation,other
maitre'd,other
apologized,other
45,other
minutes,other
chef,service
entree,food
comped,service
wine,drinks
requested,service
warm,other
foccacia,other
apple,other
walnut,other
pomegranate,other
butter,food
live,ambiance
vegetables,food
lamb's,food
meat,food
vegetarian,food
dessert,food
pear,food
cake,food
return,service
tasting,food
tip,service
drinks,drinks
desolate,ambiance
decor,ambiance
poblano,food
peppers,food
mole,food
mahi,food
mushrooms,food
banana,food
choose,service
shrimp,food
burro,food
sur,food
dogfish,food
taco,food
snagged,service
bites,food
burros,food
mmmm,food
salsa,food
bar,drinks
strawberry,food
horchata,drinks
throw,service
pecans,food
fruit,food
yummy,food
sho,ambiance
mexican,food
employees,service
sake,drinks
bombers,drinks
atmosphere,ambiance
nice,ambiance
apollo,service
brandon,ambiance
nobuo,food
belly,food
buns,food
stout,drinks
cookies,food
cookie,food
snickerdoodle,food
sandwich,food
baguettes,food
oven,food
rolls,food
atm,service
accepted,service
bbq,food
tomato,food
jason's,service
deli,food
space,ambiance
mirrors,ambiance
conversation,ambiance
bars,service
town,ambiance
rosie's,service
rueben,food
lettuce,food
iceburg,food
bacon,food
drank,drinks
smithwick's,drinks
tap,service
vodka,drinks
tonics,drinks
tab,service
jukebox,ambiance
fabulous,ambiance
mix,drinks
10pm,service
care,service
21,drinks
cared,service
sat,service
told,service
upselling,service
specials,food
customers,service
salads,food
empty,ambiance
brunch,service
mimosas,drinks
mood,ambiance
lunch,food
remembered,service
wings,food
sauced,drinks
crispy,food
visibly,ambiance
seasoning,food
spicy,food
salty,food
hint,food
tilapia,food
fish,food
greens,food
almonds,food
oranges,food
cheese,food
water,drinks
till,service
chips,food
offered,service
complimentary,service
snapper,food
tacos,food
smothered,food
beans,food
lime,food
chile,food
stew,food
macaroni,food
groupons,service
rep,service
booked,service
separate,ambiance
flights,drinks
patiently,service
entering,service
airline,service
appears,ambiance
dennys,service
mimi's,food
ribs,food
lasagna,food
potatoes,food
stuffing,food
pie,food
rib,food
serving,service
check,service
dealer,service
elsa's,food
burgers,food
pepper,food
display,ambiance
vibe,ambiance
parking,service
ginormous,ambiance
insisted,service
sharing,food
patte,food
scoops,drinks
brownie,food
topped,service
caramel,food
scoop,food
flavors,food
delish,food
eating,food
recommended,service
highly,ambiance
dumplings,food
onion,food
tart,food
starters,food
shirataki,food
noodles,food
kale,food
chopped,food
table,ambiance
date,service
dish,food
curry,food
consistently,service
dim,ambiance
9am,service
casual,ambiance
fantastic,service
relleno,food
waiters,service
flavorful,food
tortillas,food
browns,ambiance
soda,drinks
reliably,service
fizz,drinks
ciders,food
cocktails,drinks
chains,service
cibo,food
close,service
served,service
salscicia,food
chewy,food
saltimbocca,food
sausage,food
complimented,service
roasted,food
onions,food
mozzarella,food
hang,service
lived,ambiance
outdated,ambiance
feel,ambiance
pleasantly,ambiance
adequate,service
helping,service
options,food
stock,food
serviced,service
ins,service
mom's,food
ravioli,food
miso,food
elixirs,drinks
alcohol,drinks
scramble,food
biscuits,food
calories,food
portion,food
type,food
diner,food
ambiance,ambiance
steak,food
seafood,food
charging,service
ribeye,food
gristle,food
chick,food
filet,food
basket,food
ample,ambiance
crammed,ambiance
nuts,food
tables,service
listening,ambiance
speaking,service
mortons,food
maestro,service
steaks,food
renovated,ambiance
airy,ambiance
panera,food
california,ambiance
mass,service
requests,service
cleared,service
carbs,food
syrup,drinks
pancakes,food
consistent,service
roast,food
coffee,drinks
cinnamon,food
nutmeg,food
cocoa,food
peppermint,food
frothy,drinks
tofu,food
rocks,ambiance
curries,food
request,service
north,ambiance
grayhawk,ambiance
turkey,food
sliced,food
rotisserie,food
potato,food
tater,food
tots,food
fries,food
rings,food
gourmet,food
sales,service
environment,ambiance
freindly,service
atmoshpere,ambiance
provided,service
nut,food
delivered,service
crust,food
panini,food
sit,service
fine,ambiance
killer,service
pastries,food
cupcake,food
cupcakes,food
blt,food
takeout,service
bakery,food
treats,food
lgo,service
shakin,ambiance
grabbed,service
growler,drinks
walked,service
corner,ambiance
drivers,service
grilled,food
cheeseburger,food
placing,service
stella,drinks
grub,food
grain,food
slaw,food
burger,food
woman,ambiance
undercooked,food
meats,food
