"word","processed","category"
"sitting",TRUE,"ambiance"
"overlooking",TRUE,"ambiance"
"waitress",TRUE,"service"
"quickly",TRUE,"service"
"semi",TRUE,"ambiance"
"ingredients",TRUE,"food"
"menu",TRUE,"food"
"truffle",TRUE,"food"
"scrambled",TRUE,"food"
"eggs",TRUE,"food"
"vegetable",TRUE,"food"
"skillet",TRUE,"food"
"bread",TRUE,"food"
"meal",TRUE,"food"
"crowded",TRUE,"ambiance"
"seated",TRUE,"service"
"seating",TRUE,"service"
"waiter",TRUE,"service"
"drink",TRUE,"drinks"
"host",TRUE,"service"
"server",TRUE,"service"
"baked",TRUE,"food"
"spaghetti",TRUE,"food"
"calzone",TRUE,"food"
"beef",TRUE,"food"
"pizza",TRUE,"food"
"11",TRUE,"other"
"awesome",TRUE,"other"
"sweetish",TRUE,"other"
"sauce",TRUE,"other"
"box",TRUE,"other"
"gyro",TRUE,"food"
"rice",TRUE,"food"
"candy",TRUE,"food"
"shaded",TRUE,"ambiance"
"manager",TRUE,"service"
"petello",TRUE,"food"
"egg",TRUE,"food"
"rare",TRUE,"food"
"staff",TRUE,"service"
"quiessence",TRUE,"ambiance"
"earthy",TRUE,"ambiance"
"wooden",TRUE,"ambiance"
"walls",TRUE,"ambiance"
"warmth",TRUE,"ambiance"
"restaurant",TRUE,"service"
"perched",TRUE,"ambiance"
"reservations",TRUE,"service"
"sampled",TRUE,"food"
"sandwiches",TRUE,"food"
"veggies",TRUE,"food"
"salad",TRUE,"food"
"orange",TRUE,"food"
"grapefruit",TRUE,"food"
"slices",TRUE,"food"
"raw",TRUE,"food"
"radishes",TRUE,"food"
"turnips",TRUE,"food"
"pesto",TRUE,"food"
"aioli",TRUE,"food"
"sauces",TRUE,"food"
"entrees",TRUE,"food"
"pork",TRUE,"food"
"service",TRUE,"service"
"waiting",TRUE,"service"
"bothered",TRUE,"service"
"situation",TRUE,"other"
"maitre'd",TRUE,"other"
"apologized",TRUE,"other"
"45",TRUE,"other"
"minutes",TRUE,"other"
"chef",TRUE,"service"
"entree",TRUE,"food"
"comped",TRUE,"service"
"wine",TRUE,"drinks"
"requested",TRUE,"service"
"warm",TRUE,"other"
"foccacia",TRUE,"other"
"apple",TRUE,"other"
"walnut",TRUE,"other"
"pomegranate",TRUE,"other"
"butter",TRUE,"food"
"live",TRUE,"ambiance"
"vegetables",TRUE,"food"
"lamb's",TRUE,"food"
"meat",TRUE,"food"
"vegetarian",TRUE,"food"
"dessert",TRUE,"food"
"pear",TRUE,"food"
"cake",TRUE,"food"
"return",TRUE,"service"
"tasting",TRUE,"food"
"tip",TRUE,"service"
"drinks",TRUE,"drinks"
"desolate",TRUE,"ambiance"
"decor",TRUE,"ambiance"
"poblano",TRUE,"food"
"peppers",TRUE,"food"
"mole",TRUE,"food"
"mahi",TRUE,"food"
"mushrooms",TRUE,"food"
"banana",TRUE,"food"
"choose",TRUE,"service"
"shrimp",TRUE,"food"
"burro",TRUE,"food"
"sur",TRUE,"food"
"dogfish",TRUE,"food"
"taco",TRUE,"food"
"snagged",TRUE,"service"
"bites",TRUE,"food"
"burros",TRUE,"food"
"mmmm",TRUE,"food"
"salsa",TRUE,"food"
"bar",TRUE,"drinks"
"strawberry",TRUE,"food"
"horchata",TRUE,"drinks"
"throw",TRUE,"service"
"pecans",TRUE,"food"
"fruit",TRUE,"food"
"yummy",TRUE,"food"
"sho",TRUE,"ambiance"
"mexican",TRUE,"food"
"employees",TRUE,"service"
"sake",TRUE,"drinks"
"bombers",TRUE,"drinks"
"atmosphere",TRUE,"ambiance"
"nice",TRUE,"ambiance"
"apollo",TRUE,"service"
"brandon",TRUE,"ambiance"
"nobuo",TRUE,"food"
"belly",TRUE,"food"
"buns",TRUE,"food"
"stout",TRUE,"drinks"
"cookies",TRUE,"food"
"cookie",TRUE,"food"
"snickerdoodle",TRUE,"food"
"sandwich",TRUE,"food"
"baguettes",TRUE,"food"
"oven",TRUE,"food"
"rolls",TRUE,"food"
"atm",TRUE,"service"
"accepted",TRUE,"service"
"bbq",TRUE,"food"
"tomato",TRUE,"food"
"jason's",TRUE,"service"
"deli",TRUE,"food"
"space",TRUE,"ambiance"
"mirrors",TRUE,"ambiance"
"conversation",TRUE,"ambiance"
"bars",TRUE,"service"
"town",TRUE,"ambiance"
"rosie's",TRUE,"service"
"rueben",TRUE,"food"
"lettuce",TRUE,"food"
"iceburg",TRUE,"food"
"bacon",TRUE,"food"
"drank",TRUE,"drinks"
"smithwick's",TRUE,"drinks"
"tap",TRUE,"service"
"vodka",TRUE,"drinks"
"tonics",TRUE,"drinks"
"tab",TRUE,"service"
"jukebox",TRUE,"ambiance"
"fabulous",TRUE,"ambiance"
"mix",TRUE,"drinks"
"10pm",TRUE,"service"
"care",TRUE,"service"
"21",TRUE,"drinks"
"cared",TRUE,"service"
"sat",TRUE,"service"
"told",TRUE,"service"
"upselling",TRUE,"service"
"specials",TRUE,"food"
"customers",TRUE,"service"
"salads",TRUE,"food"
"empty",TRUE,"ambiance"
"brunch",TRUE,"service"
"mimosas",TRUE,"drinks"
"mood",TRUE,"ambiance"
"lunch",TRUE,"food"
"remembered",TRUE,"service"
"wings",TRUE,"food"
"sauced",TRUE,"drinks"
"crispy",TRUE,"food"
"visibly",TRUE,"ambiance"
"seasoning",TRUE,"food"
"spicy",TRUE,"food"
"salty",TRUE,"food"
"hint",TRUE,"food"
"tilapia",TRUE,"food"
"fish",TRUE,"food"
"greens",TRUE,"food"
"almonds",TRUE,"food"
"oranges",TRUE,"food"
"cheese",TRUE,"food"
"water",TRUE,"drinks"
"till",TRUE,"service"
"chips",TRUE,"food"
"offered",TRUE,"service"
"complimentary",TRUE,"service"
"snapper",TRUE,"food"
"tacos",TRUE,"food"
"smothered",TRUE,"food"
"beans",TRUE,"food"
"lime",TRUE,"food"
"chile",TRUE,"food"
"stew",TRUE,"food"
"macaroni",TRUE,"food"
"groupons",TRUE,"service"
"rep",TRUE,"service"
"booked",TRUE,"service"
"separate",TRUE,"ambiance"
"flights",TRUE,"drinks"
"patiently",TRUE,"service"
"entering",TRUE,"service"
"airline",TRUE,"service"
"appears",TRUE,"ambiance"
"dennys",TRUE,"service"
"mimi's",TRUE,"food"
"ribs",TRUE,"food"
"lasagna",TRUE,"food"
"potatoes",TRUE,"food"
"stuffing",TRUE,"food"
"pie",TRUE,"food"
"rib",TRUE,"food"
"serving",TRUE,"service"
"check",TRUE,"service"
"dealer",TRUE,"service"
"elsa's",TRUE,"food"
"burgers",TRUE,"food"
"pepper",TRUE,"food"
"display",TRUE,"ambiance"
"vibe",TRUE,"ambiance"
"parking",TRUE,"service"
"ginormous",TRUE,"ambiance"
"insisted",TRUE,"service"
"sharing",TRUE,"food"
"patte",TRUE,"food"
"scoops",TRUE,"drinks"
"brownie",TRUE,"food"
"topped",TRUE,"service"
"caramel",TRUE,"food"
"scoop",TRUE,"food"
"flavors",TRUE,"food"
"delish",TRUE,"food"
"eating",TRUE,"food"
"recommended",TRUE,"service"
"highly",TRUE,"ambiance"
"dumplings",TRUE,"food"
"onion",TRUE,"food"
"tart",TRUE,"food"
"starters",TRUE,"food"
"shirataki",TRUE,"food"
"noodles",TRUE,"food"
"kale",TRUE,"food"
"chopped",TRUE,"food"
"table",TRUE,"ambiance"
"date",TRUE,"service"
"dish",TRUE,"food"
"curry",TRUE,"food"
"consistently",TRUE,"service"
"dim",TRUE,"ambiance"
"9am",TRUE,"service"
"casual",TRUE,"ambiance"
"fantastic",TRUE,"service"
"relleno",TRUE,"food"
"waiters",TRUE,"service"
"flavorful",TRUE,"food"
"tortillas",TRUE,"food"
"browns",TRUE,"ambiance"
"soda",TRUE,"drinks"
"reliably",TRUE,"service"
"fizz",TRUE,"drinks"
"ciders",TRUE,"food"
"cocktails",TRUE,"drinks"
"chains",TRUE,"service"
"cibo",TRUE,"food"
"close",TRUE,"service"
"served",TRUE,"service"
"salscicia",TRUE,"food"
"chewy",TRUE,"food"
"saltimbocca",TRUE,"food"
"sausage",TRUE,"food"
"complimented",TRUE,"service"
"roasted",TRUE,"food"
"onions",TRUE,"food"
"mozzarella",TRUE,"food"
"hang",TRUE,"service"
"lived",TRUE,"ambiance"
"outdated",TRUE,"ambiance"
"feel",TRUE,"ambiance"
"pleasantly",TRUE,"ambiance"
"adequate",TRUE,"service"
"helping",TRUE,"service"
"options",TRUE,"food"
"stock",TRUE,"food"
"serviced",TRUE,"service"
"ins",TRUE,"service"
"mom's",TRUE,"food"
"ravioli",TRUE,"food"
"miso",TRUE,"food"
"elixirs",TRUE,"drinks"
"alcohol",TRUE,"drinks"
"scramble",TRUE,"food"
"biscuits",TRUE,"food"
"calories",TRUE,"food"
"portion",TRUE,"food"
"type",TRUE,"food"
"diner",TRUE,"food"
"ambiance",TRUE,"ambiance"
"steak",TRUE,"food"
"seafood",TRUE,"food"
"charging",TRUE,"service"
"ribeye",TRUE,"food"
"gristle",TRUE,"food"
"chick",TRUE,"food"
"filet",TRUE,"food"
"basket",TRUE,"food"
"ample",TRUE,"ambiance"
"crammed",TRUE,"ambiance"
"nuts",TRUE,"food"
"tables",TRUE,"service"
"listening",TRUE,"ambiance"
"speaking",TRUE,"service"
"mortons",TRUE,"food"
"maestro",TRUE,"service"
"steaks",TRUE,"food"
"renovated",TRUE,"ambiance"
"airy",TRUE,"ambiance"
"panera",TRUE,"food"
"california",TRUE,"ambiance"
"mass",TRUE,"service"
"requests",TRUE,"service"
"cleared",TRUE,"service"
"carbs",TRUE,"food"
"syrup",TRUE,"drinks"
"pancakes",TRUE,"food"
"consistent",TRUE,"service"
"roast",TRUE,"food"
"coffee",TRUE,"drinks"
"cinnamon",TRUE,"food"
"nutmeg",TRUE,"food"
"cocoa",TRUE,"food"
"peppermint",TRUE,"food"
"frothy",TRUE,"drinks"
"tofu",TRUE,"food"
"rocks",TRUE,"ambiance"
"curries",TRUE,"food"
"request",TRUE,"service"
"north",TRUE,"ambiance"
"grayhawk",TRUE,"ambiance"
"turkey",TRUE,"food"
"sliced",TRUE,"food"
"rotisserie",TRUE,"food"
"potato",TRUE,"food"
"tater",TRUE,"food"
"tots",TRUE,"food"
"fries",TRUE,"food"
"rings",TRUE,"food"
"gourmet",TRUE,"food"
"sales",TRUE,"service"
"environment",TRUE,"ambiance"
"freindly",TRUE,"service"
"atmoshpere",TRUE,"ambiance"
"provided",TRUE,"service"
"nut",TRUE,"food"
"delivered",TRUE,"service"
"crust",TRUE,"food"
"panini",TRUE,"food"
"sit",TRUE,"service"
"fine",TRUE,"ambiance"
"killer",TRUE,"service"
"pastries",TRUE,"food"
"cupcake",TRUE,"food"
"cupcakes",TRUE,"food"
